"AppName","appversion","LatestVersion","Website","InstalledVersion","Status","License","SourceKey","SearchUrl","Observacao","IsNewVersion","SourceId","IconUrl","TipoApp","IsDeleted"
"Keystore Explorer","5.6.0","5.6.1","https://keystore-explorer.org/downloads.html","5.6.0","UpdateAvailable","Free","keystore explorer","https://keystore-explorer.org/downloads.html",,"False",,,"app comercial","False"
"LDAPAdmin - 1.8.3","1.8.3","1.8.3","http://www.ldapadmin.org/","1.8.3","UpToDate","Free","ldapadmin","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'ldapadmin'%20and%20IsLatestVersion",,"False",,,"app comercial","False"
"Login Agent - PRE","",,,,"Unknown","Free","login agent - pre",,,"False",,,"app comercial","True"
"Login Agent - PRO","",,,,"Unknown","Free","login agent - pro",,,"False",,,"app comercial","True"
"Maven Apache 03-2026","3.9.14","3.9.15","https://maven.apache.org/download.cgi","3.9.14","UpdateAvailable","Free","maven apache","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'maven'%20and%20IsLatestVersion",,"False",,,"app comercial","False"
"Mercury x64","",,,"64.0","Unknown","Free","mercury x64",,,"False",,,"app comercial","False"
"Mercury x86","",,,"86.0","Unknown","Free","mercury x86",,,"False",,,"app comercial","False"
"Microsoft Azure CLI (64-bit) - 2.81.0","2.81.0","2.85.0","https://learn.microsoft.com/cli/azure/overview","2.81.0","UpdateAvailable","Free","microsoft azure cli (64-bit)",,,"False","Azure CLI","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Azure CLI","app comercial","False"
"Microsoft Azure PowerShell - April 2025","","15.5.0.40690","https://github.com/Azure/azure-powershell/releases","25","UpToDate","Free","microsoft azure powershell - april",,,"False","Microsoft Azure PowerShell","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Microsoft Azure PowerShell","app comercial","False"
"Microsoft Office 365 x64 - 02-2026","","1.1.3.0","http://www.microsoft.com/en-us/download/details.aspx?id=41149","365","UpToDate","Free","microsoft office",,,"False","Microsoft Office Remote","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Microsoft Office Remote","app comercial","False"
"Microsoft Power BI Desktop 04-2026","2.152.1279.0","2.153.910.0","https://powerbi.microsoft.com/en-us/desktop","2.152.1279.0","UpdateAvailable","Free","microsoft power bi desktop",,,"True","Microsoft Power BI Desktop","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Microsoft Power BI Desktop","app comercial","False"
"Microsoft Report Builder","","15.1.30001.02","https://www.microsoft.com/en-us/download/details.aspx?id=53613",,"UpdateAvailable","Free","microsoft report builder",,,"False","Microsoft Report Builder","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Microsoft Report Builder","app comercial","False"
