System_Name3,Version2,ADGRoup2,Collection2,CollectionType
Oracle SQL Developer 24.3.1.347.1826,24.3.1.347.1826,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Oracle SQL Developer 24.3.1.347.1826,24.3.1.347.1826,CENTRAL\GGA-APP-SQLDEVELOPER,USR - SFT - SQL DEVELOPER,User
OSD - IBM Personal Communications - 13.0.0,13.0.0,,USR - CENTRAL,User
Outsystems Service Studio - 11.55.42.64376,11.55.42.64376,CENTRAL\GGA-APP-OUTSYSTEMS,USR - SFT - OUTSYSTEMS,User
PAC 24.4.4.0,24.4.4.0,CENTRAL\GGA-APP-PAC,USR - SFT - PAC,User
PDF Arranger,,,USR - SFT - ALL USERS(Rede e Central),User
PDF Arranger,,CENTRAL\GGA-APP-PDFARRANGER,USR - SFT - PDFARRANGER,User
Pdf24 Creator,11.27.0-x64,CENTRAL\GG-SCCM-HELPDESK,EndUser Catalog,User
Pdf24 Creator,11.27.0-x64,,PDFCreator Instalado,Device
Pdf24 Creator,11.27.0-x64,CENTRAL\GGA-APP-ACROBAT11PRO,USR - SFT - ACROBAT 11 PRO,User
Pdf24 Creator,11.27.0-x64,,USR - SFT - ALL USERS(Rede e Central),User
Pdf24 Creator,11.27.0-x64,CENTRAL\GGA-APP-PDF24CREATOR,USR - SFT - PDF24 CREATOR,User
PGAdmin - 4-8.9,,,USR - SFT - ALL USERS(Rede e Central),User
Postgre ODBC,17.0.0.6,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
PowerShell 7 04-2026,7.6.0,,USR - SFT - POWERSHELL7,User
PyCharm Community,2025.2.1.0,CENTRAL\GGA-APP-PYTHON,USR - SFT - PYTHON,User
Python 03-2026,3.14.3,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Python 03-2026,3.14.3,CENTRAL\GGA-APP-PYTHON,USR - SFT - PYTHON,User
Python 04-2026,3.13.13,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Python 04-2026,3.13.13,CENTRAL\GGA-APP-PYTHON,USR - SFT - PYTHON,User
QualysCloudAgent - 6.3.0.81 - First Installation,6.3.0.81,CENTRAL\GG-SCCM-HELPDESK,EndUser Catalog,User
R,4.5.1,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
RabbitMQ 04-2026,3.13.7,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
RefinitivWorkspace,1.26.312,CENTRAL\GGA-APP-REFINITIV_WORKSPACE,USR - SFT - REFINITIV_WORKSPACE,User
Report Authority Professional v24.1,24.1,CENTRAL\GGA-APP-REPORT_AUTHORITY,USR - SFT - REPORT AUTHORITY,User
Request Builder 7.1.3,,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
RStudio,2024.04.0-735,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
RTools v45,v45,CENTRAL\GGA-APP-RTOOLS,USR - SFT - RTOOLS,User
Salesforce CLI - 2.108.6.0,2.108.6.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Sap Logon,,CENTRAL\gga-app-sap,USR - SFT - SAP,User
SAS Add-In 7.15,7.15,CENTRAL\GGA-APP-SASADDIN94,USR - SFT - SASADDIN94,User
SAS Enterprise Guide,7.15,CENTRAL\GGA-APP-SASENTGUIDE94,USR - SFT - SASENTGUIDE94,User
SifoxDealv3,,CENTRAL\GGA-APP-SIFOX,USR - SFT - SIFOX,User
Simba Spark ODBC Driver,2.9,CENTRAL\GGA-APP-SIMBA_SPARK,USR - SFT - SIMBA SPARK,User
Simba Spark ODBC Driver + Databricks,2.9,CENTRAL\GGA-APP-SIMBA_SPARK,USR - SFT - SIMBA SPARK,User
Smartview - 11.1.2.5.710,11.1.2.5.710,CENTRAL\GGA-APP-SMARTVIEW,USR - SFT - SMARTVIEW,User
SoapUI - 5.5.0,5.5.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Sourcetree Enterprise 3.4.16,,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
SQL Management Studio 22,22,CENTRAL\GGA-APP-SQLMANSTUDIO,USR - SFT - SQLMANSTUDIO,User
SRV - Dynatrace OneAgent SaaS - 1.319.55,1.319.55,CENTRAL\GG-SCCM-HELPDESK,EndUser Catalog,User
SRV - FlexNet Inventory Agent,,,USR - SFT - SISTEMAS,User
SRV - IBM Spectrum Protect Client(TSM),,,USR - SFT - SISTEMAS,User
SRV - NimSoft Agent,,,USR - SFT - SISTEMAS,User
SRV - Trend Micro Deep Security Agent,,,USR - SFT - SISTEMAS,User
Sublime Merge 2123,2123,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Sublime Text 4200,4200,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Summa,2.02_13,,USR - SFT - SUMMA,User
SVR - FlexNet Inventory Agent - 2023 R2,,CENTRAL\GG-SCCM-HELPDESK,EndUser Catalog,User
Tabular Editor,2.25.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Tagetik Excel .NET Client,,CENTRAL\GGA-APP-TAGETIK,USR - SFT - TAGETIK,User
TerraForm,1.3.1,CENTRAL\GGA-APP-CloudPT Team,USR - SFT - Cloud PT,User
TerraForm 1.3.3 x86,1.3.3,CENTRAL\GGA-APP-CloudPT Team,USR - SFT - Cloud PT,User
Tesseract OCR - 5.5.0.20241111,5.5.0.20241111,CENTRAL\GGA-APP-TESSERACT_OCR,USR - SFT - TESSERACT_OCR,User
TranslatorX - 15.0(3),15.0(3),CENTRAL\GGA-APP-TRANSLATORX,USR - SFT - TRANSLATORX,User
Trivy,0.69.3,CENTRAL\GGA-APP-TRIVY,USR - SFT - TRIVY,User
Unigy(TM) Client,,CENTRAL\GGA-APP-UNIGY,USR - SFT - UNIGY,User
Visual Studio BuildTools 04-2026,18.5.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Visual Studio Code 04-2026,1.116.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Visual VM,2.2,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
VMware-tools-13.0.5-24915695-x64,,,All Virtual Workstations,Device
VMware-tools-13.0.5-24915695-x64,,,WKS - VDI - ALL VDIs,Device
VPN Profile - MFA,,,USR - SFT - ALL USERS(Rede e Central),User
VPN Profile - MFA,,,Workstations - Edificios e Balcoes (Use as Limit Coll),Device
VSPlayer 7.5.3.1,7.5.3.1,CENTRAL\GGA-APP-VSPLAYER,USR - SFT - VSPLAYER,User
Vysor 5.0.7,5.0.7,CENTRAL\GGA-APP-VYSOR,USR - SFT - VYSOR,User
Webex,45.4.0.32158,CENTRAL\GGA-APP-WEBEX,USR - SFT - WEBEX,User
Windows Camera Roll Viewer,2024.11020.23002.0,,USR - SFT - WINDOWS PHOTOS,User
Windsurf IDE 04-2026,1.9600.41,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
WinMerge,2.16.38,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
XMLTools (plugin for Notepad++),3.1.1.13,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User

